E,E,5,4, 0.28125095
B,D,6,5, 0.5062525
D,D,4,3, 0.35625148
B,A,3,2, 5.500033
D,B,6,5, 0.35625148
E,C,4,3, 0.8062546
C,A,3,2, 5.100014
A,A,3,2, 5.7000422
C,A,6,5, 0.76875436
D,A,4,1, 1.0312537
B,E,6,5, 0.46875226
E,C,5,4, 0.39375174
B,C,4,1, 0.28125095
E,C,3,1, 1.1
C,C,5,4, 0.5062525
E,B,3,2, 1.8999897
D,C,3,1, 0.9000011
B,C,5,4, 0.46875226
B,B,5,4, 0.5437528
C,E,4,2, 0.20625044
E,D,4,3, 0.9187554
A,D,4,3, 1.1062483
B,C,6,5, 0.46875226
A,C,4,2, 0.58125305
A,B,6,5, 0.58125305
E,C,6,5, 0.39375174
A,A,3,1, 5.3000236
A,E,4,2, 0.46875226
C,D,3,2, 1.8999897
B,B,3,2, 4.299977
B,E,4,2, 0.35625148
B,C,3,1, 3.899964
C,E,4,1, 0.5437528
C,A,6,2, 0.5437528
C,C,6,5, 0.5062525
E,E,3,2, 1.1
D,E,3,1, 0.5000003
E,C,4,2, 0.13124992
C,B,6,5, 0.5437528
C,D,4,1, 0.20625044
D,B,4,1, 0.69375384
C,B,4,3, 0.88125515
C,C,4,3, 0.9187554
B,D,4,1, 0.2437507
B,A,5,3, 0.6562536
A,B,4,3, 1.0312537
B,A,4,1, 0.8062546
E,D,4,2, 0.431252
C,E,3,2, 4.0999675
D,D,3,1, 0.7000007
D,A,6,5, 0.431252
C,B,3,2, 4.499986
B,E,3,2, 4.6999955
C,D,5,4, 0.5062525
B,B,4,2, 0.7312541
A,E,4,3, 1.1437455
A,A,4,2, 0.88125515
B,D,4,3, 1.0312537
E,A,3,2, 6.9000983
B,C,4,3, 0.9562557
E,B,4,2, 0.58125305
E,A,5,4, 0.58125305
E,B,5,4, 0.431252
C,A,6,1, 0.5437528
D,A,4,3, 0.7312541
C,B,4,2, 0.5062525
D,B,3,2, 1.6999923
D,C,3,2, 1.2999974
C,A,5,2, 0.5437528
B,D,4,2, 0.39375174
B,A,6,5, 0.8062546
D,A,4,2, 0.28125095
C,B,5,4, 0.5437528
A,E,6,5, 0.5062525
A,C,4,1, 0.35625148
A,E,5,4, 0.5062525
E,C,4,1, 0.28125095
B,B,3,1, 4.499986
A,D,3,2, 4.6999955
E,D,3,2, 1.2999974
E,A,3,1, 7.1001077
A,C,6,5, 0.5062525
C,E,5,4, 0.46875226
C,A,5,4, 0.76875436
E,A,6,5, 0.58125305
B,E,5,4, 0.46875226
E,E,4,3, 0.8437549
B,A,4,2, 0.8437549
B,D,5,4, 0.5062525
C,C,4,2, 0.35625148
A,A,5,3, 0.69375384
C,E,4,3, 1.068751
A,A,4,3, 1.1062483
C,A,6,3, 0.5437528
A,E,4,1, 0.2437507
A,D,6,5, 0.5062525
E,D,3,1, 0.9000011
C,B,4,1, 0.431252
B,D,3,2, 4.0999675
B,B,4,3, 0.99375594
B,C,4,2, 0.5062525
A,E,3,2, 4.499986
B,D,3,1, 3.899964
D,B,5,4, 0.39375174
C,C,4,1, 0.2437507
C,D,4,2, 0.2437507
E,B,4,1, 1.1812428
D,B,3,1, 1.2999974
E,B,6,5, 0.431252
D,A,3,1, 2.499982
A,D,5,4, 0.5062525
C,A,4,1, 0.7312541
C,D,6,5, 0.46875226
B,A,4,3, 1.068751
E,A,4,3, 1.2187401
A,A,4,1, 0.8437549
A,C,4,3, 0.99375594
E,D,6,5, 0.31875122
E,A,4,2, 0.99375594
C,D,3,1, 1.4999949
B,B,4,1, 0.58125305
C,A,4,2, 0.76875436
C,A,5,1, 0.5437528
C,E,3,1, 1.2999974
C,A,3,1, 4.299977
C,A,4,3, 1.0312537
C,C,3,1, 1.8999897
D,A,5,4, 0.431252
A,B,5,4, 0.58125305
C,C,3,2, 4.299977
E,D,5,4, 0.31875122
D,C,4,3, 0.5437528
E,E,6,5, 0.28125095
D,B,4,2, 0.35625148
A,D,4,2, 0.46875226
B,B,6,5, 0.5437528
A,B,4,1, 0.6187533
A,C,5,4, 0.5062525
B,E,4,1, 0.20625044
C,B,3,1, 3.899964
E,E,4,2, 0.5062525
B,E,4,3, 1.1062483
A,E,3,1, 3.899964
A,B,4,2, 0.8062546
A,C,3,1, 3.899964
E,C,3,2, 1.4999949
B,A,3,1, 5.100014
D,D,3,2, 1.4999949
A,C,3,2, 4.6999955
E,A,4,1, 0.88125515
B,A,5,4, 0.8062546
E,E,3,1, 0.7000007
D,E,3,2, 0.9000011
E,B,3,1, 1.4999949
A,D,4,1, 0.2437507
A,D,3,1, 4.0999675
E,B,4,3, 0.99375594
A,B,3,1, 4.6999955
D,B,4,3, 0.58125305
A,A,5,4, 0.8062546
D,A,3,2, 2.6999795
C,E,6,5, 0.46875226
B,C,3,2, 4.499986
B,E,3,1, 3.6999667
C,D,4,3, 0.9562557
A,B,3,2, 4.499986
A,A,6,5, 0.8062546
Syria,5,1,185,10,8,2,0,3,4,1,1,0,0,1,1,0,red,0,0,0,0,2,0,0,0,0,0,red,black
Taiwan,5,1,36,18,7,3,0,0,3,1,0,1,0,1,0,0,red,1,0,0,1,1,0,0,0,0,0,blue,red
Tanzania,4,2,945,18,10,5,0,0,4,0,1,1,1,0,1,0,green,0,0,0,0,0,0,1,0,0,0,green,blue
Thailand,5,1,514,49,10,3,0,5,3,1,0,1,0,1,0,0,red,0,0,0,0,0,0,0,0,0,0,red,red
Togo,4,1,57,2,3,7,0,5,4,1,1,0,1,1,0,0,green,0,0,0,1,1,0,0,0,0,0,red,green
Tonga,6,2,1,0,10,1,0,0,2,1,0,0,0,1,0,0,red,0,1,0,1,0,0,0,0,0,0,white,red
Trinidad-Tobago,2,4,5,1,1,1,0,0,3,1,0,0,0,1,1,0,red,0,0,0,0,0,0,1,0,0,0,white,white
Tunisia,4,1,164,7,8,2,0,0,2,1,0,0,0,1,0,0,red,1,0,0,0,1,1,0,0,0,0,red,red
Turkey,5,1,781,45,9,2,0,0,2,1,0,0,0,1,0,0,red,0,0,0,0,1,1,0,0,0,0,red,red
Turks-Cocos-Islands,1,4,0,0,1,1,0,0,6,1,1,1,1,1,0,1,blue,0,1,1,1,0,0,0,1,1,0,white,blue
Tuvalu,6,2,0,0,1,1,0,0,5,1,0,1,1,1,0,0,blue,0,1,1,1,9,0,0,0,0,0,white,blue
UAE,5,1,84,1,8,2,1,3,4,1,1,0,0,1,1,0,green,0,0,0,0,0,0,0,0,0,0,red,black
Uganda,4,1,236,13,10,5,0,6,5,1,0,0,1,1,1,0,gold,1,0,0,0,0,0,0,0,1,0,black,red
UK,3,4,245,56,1,1,0,0,3,1,0,1,0,1,0,0,red,0,1,1,0,0,0,0,0,0,0,white,red
Uruguay,2,3,178,3,2,0,0,9,3,0,0,1,1,1,0,0,white,0,0,0,1,1,0,0,0,0,0,white,white
US-Virgin-Isles,1,4,0,0,1,1,0,0,6,1,1,1,1,1,0,0,white,0,0,0,0,0,0,0,1,1,1,white,white
USA,1,4,9363,231,1,1,0,13,3,1,0,1,0,1,0,0,white,0,0,0,1,50,0,0,0,0,0,blue,red
USSR,5,1,22402,274,5,6,0,0,2,1,0,0,1,0,0,0,red,0,0,0,0,1,0,0,1,0,0,red,red
Vanuatu,6,2,15,0,6,1,0,0,4,1,1,0,1,0,1,0,red,0,0,0,0,0,0,1,0,1,0,black,green
Vatican-City,3,1,0,0,6,0,2,0,4,1,0,0,1,1,1,0,gold,0,0,0,0,0,0,0,1,0,0,gold,white
Venezuela,2,4,912,15,2,0,0,3,7,1,1,1,1,1,1,1,red,0,0,0,0,7,0,0,1,1,0,gold,red
Vietnam,5,1,333,60,10,6,0,0,2,1,0,0,1,0,0,0,red,0,0,0,0,1,0,0,0,0,0,red,red
Western-Samoa,6,3,3,0,1,1,0,0,3,1,0,1,0,1,0,0,red,0,0,0,1,5,0,0,0,0,0,blue,red
Yugoslavia,3,1,256,22,6,6,0,3,4,1,0,1,1,1,0,0,red,0,0,0,0,1,0,0,0,0,0,blue,red
Zaire,4,2,905,28,10,5,0,0,4,1,1,0,1,0,0,1,green,1,0,0,0,0,0,0,1,1,0,green,green
Zambia,4,2,753,6,10,5,3,0,4,1,1,0,0,0,1,1,green,0,0,0,0,0,0,0,0,1,0,green,brown
Zimbabwe,4,2,391,8,10,5,0,7,5,1,1,0,1,1,1,0,green,0,0,0,0,1,0,1,1,1,0,green,green
